countrycode,language,surfacearea
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
IND,Asami,3287263.00
